,downYear,upYear,downMonth,upMonth,consecUp,consecDown
59811,1,1,18,18,5,5
52695,9,31,217,271,6,7
41523,3,1,30,27,7,4
40125,15,22,197,275,10,5
57592,10,7,103,117,7,9
52070,0,2,16,24,7,4
59707,7,2,60,58,6,6
34032,14,26,211,276,8,6
63255,0,3,15,34,8,2
57381,5,11,79,124,6,4
40838,6,13,93,144,14,7
22840,8,22,160,209,7,6
58464,2,0,23,14,2,9
21450,2,3,32,36,5,4
28433,3,2,32,31,5,4
58085,4,2,42,32,5,5
16088,1,2,24,28,5,3
63060,9,16,146,172,9,7
45970,4,8,67,98,7,4
52919,9,17,145,176,9,7
17137,6,6,68,95,7,6
64186,8,31,198,278,13,6
50404,5,10,88,107,7,8
39394,1,2,15,39,9,4
15712,0,3,13,40,12,4
64311,8,31,201,273,9,9
55976,9,30,191,282,9,7
27749,6,2,54,57,6,7
46615,3,2,34,37,4,6
60206,8,31,198,274,9,7
23990,6,20,133,186,11,5
43318,1,3,24,33,5,3
43350,8,31,198,274,9,6
29946,11,28,197,274,10,6
36978,7,8,95,98,7,6
39140,1,5,28,50,7,3
14593,13,26,204,266,10,5
46594,3,11,76,99,6,5
34833,12,27,199,270,9,5
27633,13,21,188,226,7,7
64629,9,10,120,127,7,5
56186,0,0,7,12,3,2
55212,4,7,74,75,8,6
35211,4,10,86,103,14,8
64936,9,29,166,296,9,6
62834,9,13,117,158,10,5
61065,6,15,117,145,7,6
56274,12,26,192,268,9,6
64282,14,23,197,251,9,6
17278,7,3,71,60,4,6
63108,3,2,34,33,7,5
66069,3,7,53,86,13,5
55351,0,2,21,25,4,4
60900,1,2,22,25,4,4
61399,9,28,189,265,8,6
65883,9,13,111,163,13,4
74617,5,7,75,87,6,5
66093,11,26,200,254,13,6
65859,0,14,69,118,9,3
66018,3,9,56,105,9,4
66026,2,10,57,100,12,3
66122,2,13,70,126,13,5
65875,11,26,195,259,13,6
52062,0,1,14,18,5,3
54148,14,23,199,254,8,9
64207,3,1,31,33,4,4
61241,18,14,201,208,11,7
25507,1,0,13,11,4,4
38682,11,16,149,192,8,5
58596,1,3,27,37,5,7
30067,6,7,85,83,7,6
52978,11,26,187,261,8,6
61284,3,10,59,100,9,5
70229,5,10,84,104,8,5
49905,7,16,129,161,10,4
24715,9,1,59,66,12,5
58093,1,1,13,17,4,3
57568,9,28,172,275,15,5
25769,7,14,119,143,6,5
14323,8,13,122,141,6,5
44792,8,4,79,73,7,9
47490,8,7,91,102,9,8
47466,10,15,154,159,7,7
50032,4,17,112,147,8,6
60337,2,2,27,29,5,4
70376,6,5,63,81,7,6
45495,9,19,156,199,9,9
44951,12,14,145,183,8,6
25160,1,3,27,34,5,3
34817,13,23,189,252,10,6
28222,7,29,179,262,8,6
42200,13,23,184,256,10,5
38893,5,10,70,118,7,4
62164,6,4,69,61,6,5
64020,5,6,65,75,6,4
24766,9,27,175,264,14,5
21792,10,26,182,256,8,5
49606,0,4,14,41,12,2
75030,3,10,69,94,8,4
40539,8,28,176,260,12,8
54754,2,0,13,22,5,2
37102,2,6,46,59,5,9
33785,2,8,55,72,8,5
64064,4,3,44,53,4,5
25953,11,25,177,258,9,7
58480,4,6,62,72,9,9
41355,11,25,180,254,7,5
64477,4,5,48,65,8,5
43342,2,7,52,62,3,4
53612,7,8,90,98,7,6
57234,1,0,9,15,4,2
42999,0,0,2,6,4,2
63802,0,2,15,25,6,4
90721,6,2,51,61,6,5
65787,7,13,119,144,6,5
56573,7,28,181,250,7,6
61743,5,12,92,132,13,5
69024,1,1,15,18,3,4
42462,0,0,1,2,2,1
26518,9,11,108,149,10,4
42534,10,19,151,213,7,5
61583,5,8,82,92,6,6
26884,4,8,67,87,7,6
59926,1,10,62,85,7,3
47992,4,6,62,76,8,5
38280,2,1,23,24,4,8
54447,2,1,26,24,4,6
59010,14,21,191,234,8,9
57817,13,20,180,226,7,6
50156,4,4,50,56,4,4
49429,9,12,128,136,6,5
60097,11,24,177,246,12,7
37065,0,0,5,7,5,2
60046,5,5,62,69,4,4
49373,12,21,179,227,11,5
22066,6,8,75,105,10,5
51625,4,9,67,92,9,8
66114,7,13,118,134,4,5
28847,8,7,95,90,6,6
52038,7,28,175,246,16,7
91380,7,11,101,128,9,8
22753,5,5,71,63,7,10
42550,2,4,37,48,5,4
50737,0,0,3,9,4,1
50024,1,9,49,90,7,4
15077,5,16,105,156,10,8
56450,2,8,51,87,7,3
10623,0,0,7,5,4,5
46544,0,1,16,12,4,9
75034,12,21,183,221,8,8
53401,5,3,48,64,7,4
25778,12,18,175,201,8,7
71765,2,7,44,74,9,7
62324,5,6,69,72,5,6
32205,4,6,57,74,5,4
45751,11,23,166,247,9,6
75181,9,5,79,99,8,6
43298,0,0,2,6,4,1
25022,2,3,37,37,5,8
65066,5,5,58,68,6,4
47271,6,3,61,59,4,5
35051,7,20,139,193,7,5
34841,2,6,50,54,6,4
42753,0,2,11,21,4,2
44601,8,26,163,246,11,4
48514,4,7,67,81,8,5
32707,9,10,120,144,8,7
68347,4,9,76,95,8,8
66181,7,26,168,238,14,7
65138,5,10,92,103,7,5
62252,1,8,50,78,6,4
60839,1,2,22,26,5,6
60442,11,22,165,240,8,5
47837,0,0,6,9,3,2
68144,8,22,156,223,12,8
70519,11,22,171,233,7,7
39300,0,1,10,14,3,2
53479,6,11,80,140,11,5
52505,2,5,37,54,8,5
64346,5,5,69,65,6,7
54181,7,14,107,157,10,7
83601,6,9,96,101,4,6
51043,7,12,105,136,8,5
63845,5,3,48,51,5,6
47159,3,12,81,104,7,5
57665,6,27,156,242,12,5
75423,6,4,65,58,5,7
30912,0,1,12,10,3,5
71889,0,1,11,10,3,3
29196,5,2,46,57,8,6
70578,4,28,161,235,8,4
89392,3,6,57,72,7,4
36469,6,13,104,135,7,9
47028,4,1,37,34,4,4
70092,8,11,113,136,7,6
42833,3,6,57,71,6,4
71001,1,5,29,56,15,4
60986,10,22,179,214,10,9
62308,13,19,156,237,8,5
82705,1,1,20,22,6,3
47175,6,12,98,128,7,8
41081,2,3,37,41,7,11
45356,10,20,147,226,12,6
42104,5,5,60,70,5,4
10104,9,23,155,234,7,5
48274,5,16,107,161,6,4
23114,4,18,112,163,8,6
24272,6,12,111,120,7,5
75647,2,7,48,70,10,7
87127,5,4,62,60,4,5
19721,2,4,31,53,8,3
32563,4,5,60,57,5,5
68049,5,2,43,45,5,5
50905,4,4,44,58,6,4
13056,4,10,68,107,8,4
27764,4,3,47,47,5,5
68591,9,18,149,176,7,6
85631,11,21,158,227,9,5
76090,5,12,89,125,10,6
41179,4,4,51,62,5,5
65568,6,1,47,47,6,6
27430,8,7,91,103,5,6
55079,2,2,31,35,5,7
35238,4,5,57,59,7,6
18092,6,10,84,119,8,6
46288,1,1,22,15,3,6
78968,2,4,30,52,12,4
76285,0,1,6,9,3,1
27263,1,6,32,56,9,3
64856,4,6,51,75,9,3
76122,3,3,33,46,6,4
27087,0,2,21,23,5,4
18551,1,4,28,43,8,5
58472,1,1,18,15,2,4
76608,1,2,20,25,4,7
19589,2,1,29,22,4,9
76644,9,13,136,141,8,9
90609,12,7,130,103,7,6
32379,7,6,87,77,5,6
75789,5,10,91,109,7,6
14008,11,18,156,204,10,5
75646,5,17,109,168,7,4
76557,3,10,63,102,7,4
79250,3,2,37,38,4,5
76070,2,2,26,34,6,4
10078,7,10,101,108,7,7
77768,5,20,123,191,7,6
53065,10,19,159,192,9,5
79041,0,0,1,4,4,1
11626,0,0,7,7,4,4
78946,1,2,20,27,5,3
76171,4,8,68,90,7,5
63096,2,3,23,49,9,4
87055,4,24,134,205,6,5
50200,3,4,40,55,6,4
71298,5,3,50,54,7,6
75333,5,7,65,84,8,7
79764,1,3,23,31,5,5
11997,4,4,52,55,8,5
76076,10,18,135,202,10,7
10791,4,1,35,42,11,4
80080,10,17,150,185,8,6
64995,10,17,148,186,6,7
71175,10,16,142,180,7,5
79119,0,1,8,19,8,2
80094,2,2,21,41,10,3
80410,0,3,19,33,5,3
10107,6,21,129,202,8,6
58683,10,17,154,176,17,7
92655,4,23,118,212,7,5
56232,5,9,85,87,5,10
53613,12,15,151,177,12,7
77546,2,10,66,90,5,6
70536,3,17,97,157,10,7
76226,15,12,152,176,10,6
80694,1,1,17,14,3,6
41443,3,9,61,94,9,4
77605,11,15,147,176,8,8
14702,9,17,149,173,8,7
81193,1,3,25,38,4,4
49656,7,19,141,181,6,8
76512,1,2,24,32,4,5
75625,4,1,39,36,4,4
26710,9,17,139,181,8,6
71984,2,1,30,23,7,8
25487,4,6,64,71,8,5
81655,3,23,128,191,9,5
79323,10,16,140,178,9,5
75257,6,9,91,106,7,8
53938,1,3,18,36,6,5
81774,10,16,145,172,9,6
82959,1,5,36,42,5,4
69032,9,17,130,186,8,7
66157,10,16,127,188,8,5
22517,8,18,125,189,7,4
48267,11,7,105,116,10,7
25081,10,16,132,181,8,6
82309,1,1,13,17,8,6
82647,2,2,21,31,5,4
77462,7,17,135,157,9,10
82776,0,1,9,16,5,4
82775,8,17,131,181,10,6
76129,1,2,25,29,7,5
80678,1,1,23,23,5,6
76754,0,1,15,15,6,3
10147,7,12,111,135,7,5
67571,1,0,13,15,5,4
34746,9,16,142,168,9,8
77644,0,3,17,28,6,3
61735,7,18,120,189,9,6
11042,1,4,39,34,7,6
83462,4,3,43,50,6,7
85869,2,0,24,13,3,6
76804,6,5,69,78,7,7
78788,0,0,9,7,2,2
69607,1,2,22,29,5,5
11081,8,8,102,103,6,7
83332,4,5,57,65,5,6
82308,2,1,24,21,3,6
83988,0,1,6,11,6,2
84020,6,7,76,82,6,5
75175,6,6,77,79,7,9
81126,4,5,41,71,10,5
76605,5,19,123,177,6,6
84375,1,0,22,12,5,6
86976,4,0,36,30,3,6
84381,5,19,118,182,10,6
10693,4,1,36,38,5,5
62092,8,16,121,179,12,7
75912,4,5,58,59,4,7
75510,5,19,109,187,9,6
21371,11,13,128,168,11,6
52476,6,18,116,179,9,9
64565,4,6,66,67,5,10
75186,6,18,137,158,8,7
39490,11,13,136,158,8,6
85073,1,6,35,64,9,5
70332,8,13,122,143,7,6
81593,4,6,60,74,8,7
77157,6,2,74,61,7,7
60441,1,1,15,19,4,4
42906,10,14,123,170,7,8
72726,8,16,128,165,8,6
64390,5,19,123,170,10,5
46886,6,18,128,164,7,6
24046,5,5,56,74,7,9
40484,0,1,6,9,6,2
85348,5,19,118,172,7,5
20053,5,5,53,69,10,4
30681,8,16,134,155,9,10
23473,7,17,123,166,6,8
71563,9,15,125,164,6,5
80599,3,6,53,75,10,4
58246,6,17,130,158,8,9
67467,8,6,87,94,8,7
51588,1,1,19,19,4,4
52821,0,0,9,10,4,2
79973,4,3,55,45,6,5
37584,8,15,124,161,10,6
77284,2,4,36,52,10,6
83440,1,0,14,18,4,4
85913,8,15,131,153,10,7
85926,7,16,129,155,7,8
85908,1,0,23,8,4,7
80506,0,0,4,8,5,2
76563,0,0,5,5,3,2
81055,9,14,124,158,8,5
11955,4,19,116,166,9,6
86136,5,18,108,174,11,4
88388,0,1,11,12,3,2
68304,1,8,55,64,6,4
66325,4,11,82,108,6,7
30382,5,3,55,53,5,5
35044,8,15,113,168,8,5
64531,0,0,5,6,3,3
83596,4,5,56,64,5,8
77606,9,12,127,138,6,10
76597,1,0,10,17,10,8
77063,2,6,53,57,6,6
78083,1,4,36,38,5,4
78263,3,2,33,36,7,5
75489,9,9,106,121,6,4
76712,10,13,129,150,8,8
61621,6,17,116,163,9,6
70500,5,12,88,123,11,5
11976,4,10,83,96,7,6
76149,10,6,86,108,8,6
75857,6,2,52,54,6,5
86414,2,3,27,37,5,5
75154,12,11,124,153,14,5
77418,8,10,108,125,10,10
78139,5,7,78,78,6,7
81061,7,15,127,149,6,7
36127,0,1,14,11,3,3
71686,0,4,26,42,7,4
60599,12,10,130,144,6,8
62770,1,5,41,51,6,4
78916,9,11,114,139,12,6
86591,3,2,40,37,5,5
57904,5,17,114,158,8,5
54463,0,0,10,7,4,4
75573,4,6,67,71,7,7
82598,8,14,119,152,10,5
83583,0,4,30,36,6,4
85914,9,13,130,141,7,6
15202,7,15,119,151,8,6
77178,7,15,116,154,8,5
50906,5,2,49,46,6,9
76887,5,3,56,56,6,7
82643,6,6,81,77,5,8
86326,1,0,14,11,5,4
61663,0,1,8,16,4,3
87029,0,2,19,17,3,5
77659,8,9,100,113,6,4
10138,6,16,106,161,9,7
10942,3,4,41,47,5,7
60943,8,13,109,146,8,4
60871,9,13,119,148,6,6
27991,8,14,113,154,6,7
77481,3,9,63,88,7,5
10353,1,0,12,7,2,5
80470,2,1,20,26,4,3
51369,8,6,86,99,6,7
76201,8,14,118,148,6,5
59345,0,1,10,6,2,3
82686,7,15,116,149,7,5
87292,4,6,51,80,9,7
79237,4,7,80,73,5,7
54827,7,6,87,81,4,6
83435,9,8,97,113,6,8
86041,0,0,6,3,1,3
70033,8,11,117,128,13,6
11983,2,0,27,19,3,5
86496,1,0,16,13,3,3
84372,3,3,44,49,7,5
84036,2,4,43,42,8,5
80055,3,1,35,28,6,6
10299,8,8,96,107,6,6
75577,8,6,87,101,8,6
83413,1,0,13,11,3,5
11896,4,4,59,54,5,6
83693,3,2,37,32,5,6
76656,4,2,38,46,8,6
79718,4,1,32,35,6,3
11970,1,5,34,46,6,5
10725,0,3,16,35,5,2
12067,5,6,77,67,6,6
77702,5,16,102,157,13,6
75100,6,14,105,142,11,4
87432,6,15,115,144,12,6
79108,5,1,45,40,10,5
86305,5,3,56,58,4,7
85963,7,8,87,100,8,6
79879,8,4,86,75,7,7
88313,4,6,70,66,5,7
85599,0,0,4,7,3,2
85032,5,5,62,67,9,7
87800,1,0,15,10,4,7
88319,3,2,35,31,7,4
87137,8,13,108,149,10,7
24360,2,4,31,53,9,4
29102,7,7,80,93,8,5
90352,4,4,56,54,7,7
86176,5,4,58,64,9,7
85516,3,1,29,24,5,4
83630,0,0,8,2,1,4
88587,2,4,42,41,5,5
45241,6,7,73,91,6,9
23318,3,2,29,36,9,4
54690,2,3,24,41,7,4
38762,6,15,98,156,10,9
75825,8,13,109,145,9,6
76757,4,3,47,43,4,8
51596,1,5,27,50,8,3
52230,6,15,113,140,7,6
78975,2,19,96,157,7,4
73139,3,18,101,152,9,6
77173,1,0,12,8,4,5
80266,7,3,60,61,8,5
87842,7,14,113,140,8,5
83981,3,1,42,18,3,7
73940,3,3,37,36,4,5
90537,2,8,75,77,9,6
85522,3,1,39,25,3,6
88853,6,11,102,119,10,6
88845,3,13,77,137,10,5
79094,8,4,81,85,7,6
23887,8,7,90,103,7,5
84001,2,3,36,37,5,6
23660,6,14,96,154,7,4
10696,4,16,89,160,10,4
88601,1,0,20,7,3,6
26332,2,0,17,17,4,4
86756,2,6,46,60,9,4
87536,1,1,14,20,7,5
84129,9,11,112,135,10,10
84342,3,6,66,60,7,6
76624,4,1,32,39,7,4
89014,2,14,89,118,6,5
89001,1,1,16,22,11,4
81540,4,16,100,145,11,5
84519,4,3,51,49,7,10
53866,3,10,75,92,5,6
43610,0,0,3,7,7,3
89070,8,12,109,135,8,6
86314,7,9,92,112,8,6
45277,7,5,71,82,8,6
85238,1,4,23,41,9,3
37161,3,11,79,98,8,8
76565,4,1,29,35,4,2
86580,6,14,95,147,9,9
10324,4,5,54,58,5,6
76638,4,3,46,41,4,4
79547,6,14,97,144,9,5
82651,5,14,95,145,6,6
75592,3,10,72,97,5,5
79057,1,15,83,133,10,5
51706,4,4,52,61,6,5
80515,0,0,7,5,4,6
36397,5,5,66,67,7,7
81285,1,4,24,49,10,4
81138,5,5,67,67,8,5
76240,3,4,48,47,5,8
80100,6,13,87,148,10,5
86868,4,15,96,138,8,5
75828,7,12,103,131,10,5
58094,1,2,21,32,7,5
10108,0,2,14,23,7,3
89258,5,14,91,143,11,5
86356,4,15,108,126,8,8
89195,5,14,99,135,8,6
87447,5,14,97,137,7,5
89179,4,15,94,140,11,6
88668,3,12,75,115,7,7
86946,1,13,60,118,14,3
89495,0,1,10,9,3,2
84373,4,15,94,135,8,5
89525,6,13,88,141,7,7
76282,5,8,76,98,5,6
52090,2,16,87,139,9,5
80711,5,11,89,124,9,4
75607,7,11,106,120,9,6
86102,3,6,51,66,7,4
80406,1,6,36,59,6,7
77668,4,10,67,116,10,6
89813,4,4,39,64,7,5
76841,8,10,97,121,7,5
35554,6,11,90,125,11,7
81262,0,2,14,22,4,3
80913,3,2,31,39,4,4
85269,6,11,93,120,7,6
83862,5,10,85,113,11,7
69550,6,9,97,102,8,4
90110,3,7,59,76,6,5
77274,5,12,97,113,6,7
10562,3,1,28,26,6,9
77150,1,0,11,16,4,3
88661,7,10,99,109,7,7
89463,2,2,27,30,5,5
12062,3,14,78,128,9,4
64451,0,2,11,23,7,3
86021,5,9,70,105,11,4
90441,4,10,75,96,12,5
79212,1,4,24,42,7,2
22032,0,2,12,21,8,3
90435,0,0,8,15,4,3
84032,8,7,90,100,9,7
89757,4,2,41,49,8,4
32791,1,2,19,24,7,6
69796,4,12,83,115,8,5
77661,5,11,84,114,9,6
28388,7,9,83,114,6,5
76619,2,5,34,59,10,4
77730,6,10,81,116,8,6
28345,5,6,69,74,6,5
64653,3,13,82,115,6,6
78034,6,6,73,76,7,6
52708,5,11,80,115,7,6
90880,4,12,77,117,10,5
84788,4,12,75,119,6,6
90162,5,4,61,58,5,6
84176,1,1,13,18,4,4
82642,2,13,71,121,15,5
77281,5,5,71,68,7,10
91063,6,6,80,86,8,5
85753,3,12,71,120,11,5
11415,0,1,18,16,3,4
75224,4,6,58,75,14,7
78877,6,5,83,61,5,10
77129,8,7,92,97,6,10
85058,5,10,86,103,8,4
65330,4,5,65,63,8,10
82618,5,4,58,63,5,7
90319,4,11,73,116,10,6
83421,3,3,38,47,4,5
91207,4,5,56,68,4,7
91218,2,0,18,19,3,7
86845,0,1,12,9,4,4
86979,7,8,86,101,8,7
86799,6,3,56,61,6,7
89626,4,11,88,97,7,8
91391,4,4,47,57,7,8
91392,3,8,55,85,14,4
91388,0,0,2,5,4,2
45794,1,2,18,28,8,8
89003,4,11,74,108,8,5
90199,5,10,81,101,8,8
11552,4,8,66,90,6,5
88991,4,3,44,50,5,6
91461,6,8,76,94,8,5
86158,6,9,78,104,7,5
78840,1,0,11,9,3,5
58318,0,1,11,12,4,2
27756,1,2,17,26,5,5
89954,2,6,38,65,8,3
80381,4,10,67,113,10,4
62519,1,0,16,19,5,8
85072,4,10,82,97,8,5
91650,3,6,49,71,14,8
25099,1,6,40,60,7,6
87070,3,4,47,58,5,4
83976,3,2,39,42,4,7
85459,6,8,76,102,8,5
78927,1,0,16,8,2,3
90038,3,11,66,111,9,6
89006,3,11,74,103,6,4
81776,3,0,34,21,4,7
63830,3,5,42,62,5,5
85271,1,0,12,8,3,5
79129,3,1,36,36,4,5
87299,5,9,75,99,10,6
92156,1,3,27,41,4,4
92157,2,9,57,88,9,9
92121,3,11,70,103,8,6
90993,2,12,76,96,5,5
37284,2,8,63,70,6,9
78987,3,11,70,102,8,5
90808,5,9,71,100,7,5
61815,5,7,74,82,10,5
83699,2,2,37,25,3,5
87717,3,11,74,97,4,5
91143,3,2,36,37,8,7
52329,6,8,83,88,9,6
23501,1,7,45,55,7,3
86111,3,11,65,105,9,6
51263,1,0,13,9,2,6
92293,4,5,52,63,11,5
53225,2,4,40,41,7,7
50017,5,5,68,58,5,8
89301,3,5,48,52,5,4
76639,2,8,56,84,8,4
81857,2,5,45,54,6,6
67598,5,8,74,92,6,4
92602,2,11,69,96,7,5
88352,2,11,65,98,11,7
63765,4,4,55,51,7,8
76082,6,6,71,80,12,7
80303,1,1,21,20,6,5
82307,4,9,71,91,8,7
17279,0,6,32,51,6,4
91233,1,12,58,104,8,7
92709,3,6,50,65,11,6
19583,4,9,74,87,7,7
90829,3,10,68,93,9,6
84769,3,10,55,105,10,5
75241,5,8,69,91,6,6
90215,2,11,62,98,9,4
11618,2,11,75,85,6,6
92618,1,8,41,76,10,4
90601,1,12,56,103,10,5
30940,6,6,67,80,10,6
76625,2,0,15,20,7,4
83906,4,5,57,64,7,6
12073,6,7,70,88,6,3
89533,5,8,71,87,8,8
11600,4,9,75,83,7,4
42585,3,10,66,92,7,4
86725,1,4,25,37,7,4
77976,0,2,11,16,5,3
88590,3,5,46,54,6,5
86228,1,12,51,106,13,3
83143,2,10,63,93,7,4
65947,3,8,58,86,7,4
79265,6,5,64,80,6,4
23085,1,8,49,71,7,5
82298,5,1,57,35,4,9
91883,1,5,31,55,6,3
44206,1,11,54,100,10,3
75819,3,9,64,90,7,5
32870,1,11,58,96,9,6
79103,1,11,53,101,9,6
82196,2,3,33,38,7,6
91937,2,3,34,43,7,6
89004,3,4,40,51,7,7
76708,2,0,20,20,4,5
85792,4,8,63,87,9,5
66384,5,7,67,83,7,7
87184,2,7,42,78,11,3
70308,0,6,32,48,7,4
92988,1,4,27,38,5,5
91611,5,2,48,41,7,6
86783,2,10,58,88,10,3
27422,3,1,26,26,9,3
77338,1,11,61,84,8,5
91556,1,11,61,84,10,5
91547,4,1,36,38,5,6
92611,2,10,50,95,7,4
92890,3,4,40,50,5,7
90071,4,7,65,79,6,9
79881,4,2,48,37,4,6
83443,2,9,60,83,9,7
90805,6,5,73,69,7,7
10909,3,8,53,88,9,4
89508,4,7,58,81,6,8
93422,2,2,29,30,5,4
68857,1,4,27,39,6,4
86964,6,5,66,67,5,6
89393,2,9,51,82,8,4
79915,5,3,49,49,6,4
12456,0,0,7,8,5,2
89105,3,0,32,24,3,5
87267,2,8,49,80,12,4
91068,4,6,55,74,6,5
87657,1,9,52,77,6,4
90547,0,0,13,3,1,5
85592,1,9,47,80,10,4
89071,1,9,44,82,8,3
12872,2,8,48,77,10,5
90386,5,5,52,72,9,4
81481,3,7,48,73,7,4
15553,1,3,19,36,6,3
13035,2,8,45,76,9,3
79545,5,5,48,73,14,4
77182,4,5,59,50,4,5
13168,3,3,48,47,4,4
13141,0,1,14,11,2,3
86339,0,9,47,71,7,3
79089,2,1,27,18,5,8
12558,4,5,53,63,6,5
83111,3,5,48,56,6,6
48486,1,8,37,78,13,4
88031,2,7,55,60,5,8
13356,3,6,51,64,10,5
93159,2,1,26,18,4,9
89641,2,7,44,70,8,4
12345,1,8,47,65,8,3
79411,0,2,14,15,5,4
13598,0,2,10,22,5,2
13586,3,6,45,65,6,5
13567,3,0,18,24,5,3
93096,0,9,47,62,6,4
88837,1,8,46,63,6,5
13103,2,7,40,69,10,5
13721,2,6,40,67,5,5
13936,4,4,44,63,9,3
76614,2,6,47,57,7,5
80399,3,2,42,37,5,7
13788,0,8,28,75,9,3
12369,2,6,45,58,7,4
12542,6,2,50,52,6,4
13963,4,4,52,49,6,4
76744,2,6,45,55,8,4
85257,2,6,41,59,7,3
91926,4,4,45,55,5,5
13142,3,3,45,33,8,9
77496,1,7,39,58,10,5
13407,1,7,34,63,5,4
89002,4,2,39,39,4,4
14297,2,5,39,57,6,3
80286,1,6,38,58,9,6
79588,1,0,15,9,2,6
80681,2,5,35,58,6,5
90979,3,4,40,52,5,7
93002,0,7,33,59,7,5
14542,1,5,31,49,7,4
89509,4,1,37,32,7,7
14601,2,1,23,25,4,7
80204,1,6,34,56,6,4
85593,3,1,36,29,4,5
92778,3,3,44,33,5,7
14011,2,0,14,21,8,5
79637,3,4,45,43,4,7
85663,2,5,38,50,5,3
85991,0,2,23,12,2,5
79145,3,4,37,48,9,5
88436,1,0,17,9,3,7
12622,0,6,39,45,4,5
45911,2,4,38,44,5,7
85265,4,1,36,34,5,4
89617,1,5,29,53,6,5
82581,2,4,39,43,4,7
91416,3,2,36,34,7,4
81045,1,5,31,50,7,3
85035,2,4,36,43,6,5
89217,2,4,38,40,5,9
12076,2,0,20,12,3,4
42877,1,5,34,44,5,4
79678,3,3,31,46,7,4
15401,0,0,3,7,3,1
15404,0,0,7,4,2,2
15408,3,3,39,38,6,6
15488,1,5,30,47,12,3
89565,0,0,1,2,2,1
91103,2,4,38,38,6,6
13964,2,3,33,31,5,4
90442,0,3,20,22,3,4
93089,0,6,27,48,5,3
14776,1,5,30,44,8,4
88446,1,5,29,45,7,3
15797,1,1,16,12,4,5
23393,0,6,30,43,7,6
15707,2,4,34,39,5,4
90305,0,5,27,45,5,5
89017,0,4,25,35,5,3
92239,3,1,30,29,5,4
58413,3,2,36,35,8,6
14889,2,3,28,43,5,5
89269,1,4,34,36,6,6
76095,1,4,27,43,7,3
92614,0,5,26,44,6,3
59300,1,4,28,42,8,4
88873,1,4,26,43,7,4
92322,1,4,27,42,4,3
28804,3,2,34,34,5,5
89216,1,0,17,8,2,5
15980,2,2,29,27,4,9
89866,2,3,22,46,10,3
38093,0,5,21,47,5,3
90373,1,4,30,38,6,5
91152,0,5,22,45,5,3
12981,1,4,28,39,6,5
58819,1,4,24,42,9,3
80191,2,3,26,40,6,5
16087,1,4,21,44,6,3
12308,2,3,21,43,6,4
65541,0,5,25,39,9,4
85621,1,4,22,42,8,4
13983,1,2,31,16,3,5
80183,2,3,20,41,10,3
85675,1,0,11,11,5,5
76709,0,4,19,41,8,4
79906,3,1,35,24,3,8
16538,2,1,26,21,3,4
93429,2,2,22,36,11,3
79782,2,2,30,28,6,6
77357,1,3,20,38,5,2
69649,1,3,22,36,6,3
81696,2,2,30,28,3,6
84767,1,3,21,37,7,3
79698,0,4,17,40,7,2
14338,1,3,21,34,7,3
83621,1,3,22,33,5,3
88860,1,3,19,36,12,5
82303,1,3,25,30,4,4
14704,0,4,16,39,13,2
75341,1,3,18,36,6,3
65402,1,3,25,29,4,5
87541,1,3,21,33,6,3
81736,0,4,17,37,7,3
11891,2,2,26,28,4,3
13911,0,4,22,31,5,4
86996,1,3,22,30,6,3
16816,1,0,11,8,2,5
11403,0,4,19,33,6,3
13760,3,1,25,26,3,3
16851,2,2,25,26,5,6
12623,1,2,22,26,4,4
80539,0,0,12,7,2,4
91668,1,2,21,25,6,3
11786,0,3,17,29,5,3
84761,1,2,20,26,6,4
92402,0,3,16,29,5,3
75107,1,2,22,22,5,5
91849,0,3,16,27,6,4
12449,2,1,19,24,4,3
32803,1,1,21,10,2,6
24053,1,2,18,25,5,2
14295,1,2,20,23,4,6
80320,0,3,13,29,8,3
14714,1,2,14,27,5,2
90272,0,1,7,9,3,3
93132,0,3,16,23,5,3
36003,2,1,19,20,5,5
14939,0,3,12,26,7,3
18143,0,3,14,24,6,3
88664,0,3,14,24,6,4
13641,1,2,20,17,9,6
16431,2,1,18,19,8,6
90520,0,3,13,24,6,4
44329,1,1,15,21,5,6
12448,0,2,13,23,4,3
81677,1,1,15,20,3,4
32986,1,1,18,17,4,3
18420,1,1,13,20,5,2
18421,1,0,10,11,2,3
18428,0,2,14,18,6,3
90454,1,1,15,15,3,3
18592,0,2,12,18,7,4
18724,0,2,11,19,6,3
75591,0,2,13,16,3,3
79785,0,2,8,20,7,2
13949,1,1,7,21,7,3
90505,2,0,14,13,3,3
13447,0,2,9,17,12,3
17743,1,1,11,14,3,2
77649,0,2,10,15,5,2
77037,0,2,8,17,4,2
76795,0,2,7,18,6,3
91041,0,2,12,13,5,4
14579,1,0,9,15,10,5
16692,0,0,4,6,3,2
90664,0,1,7,13,7,3
19285,0,1,3,17,7,1
62498,0,1,4,16,5,2
90248,0,1,7,13,3,2
19286,0,1,6,14,5,2
76185,0,1,8,11,6,2
87445,0,1,9,10,3,2
61516,0,1,8,11,4,1
14763,0,1,6,10,8,2
15291,0,1,7,9,3,3
82515,0,1,4,11,4,2
19807,0,0,0,2,2,0
93436,0,1,4,9,7,2
20057,1,0,9,4,1,4
100016,0,0,3,9,9,2
100022,0,0,5,7,3,2
100007,0,0,6,6,2,3
100003,0,0,6,6,5,5
100005,0,0,6,6,3,2
100006,0,0,3,9,4,1
