,downYear,upYear,downMonth,upMonth,consecUp,consecDown
21776,26,51,378,553,18,6
18411,18,59,369,562,10,6
19019,11,19,181,210,8,7
11834,6,7,81,87,6,5
18868,1,1,11,21,4,4
21370,8,22,157,219,8,7
13207,5,2,61,53,5,6
22859,7,21,156,197,6,6
22947,9,30,199,292,10,6
23229,14,36,254,370,10,6
23210,6,22,157,191,10,5
23712,20,53,351,531,9,7
23931,13,59,339,531,11,6
23421,15,22,213,241,9,5
10970,10,19,158,197,11,6
18382,17,35,276,357,15,7
12730,5,24,147,215,9,4
15368,19,30,278,320,7,9
23317,14,35,282,320,10,9
24061,3,11,71,112,7,7
24109,17,53,353,491,13,7
23130,9,15,144,167,10,8
23587,7,8,99,96,7,8
23675,3,1,37,23,4,7
22402,5,11,109,109,12,8
22680,14,31,266,288,7,6
20626,22,40,340,421,12,9
11367,6,7,70,102,9,4
24627,6,16,151,144,7,10
23296,3,6,52,70,10,7
22541,7,16,139,174,8,6
13610,7,10,103,112,8,7
20810,0,0,5,4,3,4
21290,3,4,45,64,6,4
18585,0,2,16,29,8,3
14613,2,4,44,41,5,8
23464,9,14,150,146,14,9
11391,2,8,54,76,11,6
20570,10,18,162,187,7,6
21872,0,0,4,1,1,4
22496,6,12,116,134,7,5
15085,0,0,8,5,3,5
22891,8,25,190,241,10,8
15472,12,38,270,349,7,7
12466,9,11,120,137,8,7
12431,19,43,323,439,10,6
25785,27,37,366,412,10,8
22875,1,3,27,32,5,4
12124,6,9,86,110,13,5
21055,15,21,216,235,8,8
20976,8,10,123,109,6,6
10735,3,7,53,77,10,4
15464,4,5,61,67,5,8
17582,1,4,37,40,7,5
17144,14,43,298,409,11,6
24707,7,19,147,177,8,7
19107,1,5,33,50,6,4
10559,9,19,152,203,11,6
19211,7,3,67,73,4,4
23907,3,3,39,44,5,5
19430,3,12,81,113,9,7
15149,1,4,50,48,4,13
11439,2,6,55,59,5,5
20554,0,0,5,8,4,4
10778,0,0,2,16,8,1
18163,11,53,328,450,8,7
10604,11,31,229,288,11,10
11447,9,17,146,185,8,5
21901,4,3,49,45,5,6
17005,16,48,335,443,10,9
15843,6,9,100,94,5,8
19940,5,17,116,160,11,5
10030,2,8,57,84,10,5
24141,8,19,148,190,8,7
23720,6,12,109,122,5,5
12095,13,27,224,275,7,8
23018,6,10,106,105,8,7
20108,0,0,1,2,2,1
18112,14,28,239,275,10,9
22461,6,6,76,81,7,6
17013,2,5,40,64,10,5
21768,12,14,143,183,11,6
11092,9,9,113,114,8,9
20407,10,15,147,170,7,8
19916,10,32,230,295,8,8
19828,5,4,61,66,5,7
20124,14,31,223,329,12,10
12511,10,21,192,210,10,6
22007,5,16,124,142,6,6
23173,0,0,2,7,4,1
17478,14,50,311,467,14,8
22509,17,47,328,450,9,9
16870,10,30,208,287,11,8
24184,14,30,238,301,19,9
19617,9,9,113,119,7,8
22429,8,7,106,88,4,6
21936,18,46,335,443,11,6
12343,6,5,72,93,10,10
16678,21,43,340,438,10,7
24635,14,16,181,198,11,8
19684,3,8,64,85,10,5
23886,8,7,95,98,8,9
14664,2,6,54,57,9,8
17750,16,48,341,437,11,11
21995,1,5,43,53,7,5
17806,17,32,264,336,10,11
17291,11,17,153,203,7,10
22330,6,5,71,72,8,11
11068,6,6,80,81,7,8
23683,8,9,111,107,16,8
25320,21,43,331,447,8,5
11375,1,5,43,56,9,7
22023,13,21,212,211,9,7
12757,3,2,45,36,7,6
23851,11,31,220,299,8,5
25005,13,25,215,259,7,7
17558,7,14,123,145,10,7
15835,2,8,62,74,6,4
17646,10,13,133,157,10,5
20239,10,15,153,168,8,8
22699,2,5,47,52,8,5
22082,12,27,204,279,8,7
17881,1,3,33,36,5,5
14867,4,4,66,52,6,6
21186,20,44,361,417,10,9
23747,0,0,2,3,3,2
14779,1,4,34,36,4,5
13354,10,25,210,229,11,8
12781,8,10,103,129,9,6
23528,4,7,62,81,8,6
24555,7,17,141,165,9,7
24811,16,26,247,276,10,6
25646,4,10,83,120,8,5
15667,12,39,255,376,14,9
19895,15,29,261,277,7,7
24088,10,8,111,121,8,6
21530,4,8,79,78,11,6
20204,15,31,252,321,9,9
11981,6,8,91,95,6,7
15237,8,6,90,88,8,5
10866,12,26,210,261,10,7
24096,6,10,101,130,10,7
13661,10,19,162,198,9,7
13290,7,14,120,146,7,5
17603,0,2,19,24,5,5
14525,11,17,165,189,8,7
24176,2,6,48,67,8,3
21151,1,1,19,26,6,3
19254,14,26,219,279,12,7
12490,21,43,355,423,10,8
12052,22,42,340,438,8,6
18980,9,9,123,109,12,9
11690,10,19,162,202,7,8
21549,0,5,30,48,8,4
12191,3,7,54,76,9,5
22015,2,1,30,17,2,5
11762,17,47,326,452,9,6
16600,13,51,323,455,10,7
23077,12,43,279,396,10,6
25689,6,8,92,94,8,14
17099,0,3,22,29,5,7
16731,8,11,125,122,5,9
20730,10,27,204,260,14,5
16723,3,7,55,85,10,6
10276,6,9,90,101,12,11
22074,3,4,51,48,7,7
17742,0,2,14,21,5,3
18315,13,11,151,155,8,9
21557,12,17,175,188,13,6
15528,1,6,38,61,8,3
10989,9,33,215,308,11,5
16803,8,19,141,197,8,7
15819,2,8,57,81,8,8
20714,3,3,38,45,5,3
11949,9,6,99,95,10,8
24459,21,38,322,398,11,6
13303,15,21,219,223,15,8
11658,6,15,121,142,8,8
21645,2,5,43,52,7,6
14189,8,18,152,176,9,8
20431,6,5,67,80,7,9
19756,8,10,123,103,7,6
19772,3,5,53,57,6,5
14357,7,20,146,193,9,6
24619,0,2,20,25,7,7
21434,5,5,67,71,7,6
13012,5,8,74,103,8,5
24221,17,37,268,392,11,6
15915,12,7,137,104,6,7
13856,11,53,310,468,10,7
19377,10,30,204,292,12,6
14891,15,32,252,329,12,5
19561,19,45,344,434,9,6
12212,2,0,27,18,3,6
13274,1,5,33,49,10,10
15157,1,9,54,83,9,5
25136,0,0,3,4,3,3
16686,2,8,58,78,7,5
12976,9,19,136,216,9,6
24264,16,28,259,285,8,7
16205,4,5,58,69,5,5
12618,0,0,1,2,1,1
16571,9,27,195,258,13,6
12220,0,0,9,6,3,5
15544,6,6,90,73,6,6
28281,0,3,21,36,8,2
23050,7,17,141,163,9,6
10057,13,21,224,200,6,10
15966,10,31,212,301,10,6
21784,1,1,16,21,7,5
18032,12,25,202,263,7,5
13389,0,0,6,7,3,3
13370,6,4,73,82,5,7
10292,0,4,26,40,11,3
10321,15,14,182,183,10,6
14488,4,5,61,63,6,8
22488,9,7,103,102,5,7
18729,17,47,320,458,11,5
17304,9,19,154,203,14,6
22306,3,4,41,62,8,3
22381,2,3,31,47,7,4
21231,6,12,98,134,15,6
14816,0,0,2,3,2,2
25187,0,3,24,31,8,5
19350,20,44,334,444,9,11
11359,0,4,30,29,4,6
25013,13,38,272,360,9,10
17689,3,3,42,40,3,7
13004,2,1,28,19,3,5
18171,0,1,5,20,5,2
11703,16,43,321,405,10,9
21979,14,37,277,365,10,8
11543,6,7,81,92,9,8
12319,18,25,251,286,8,10
19844,2,7,54,68,6,4
17830,20,44,339,439,9,7
23325,10,16,160,172,8,8
25232,17,37,299,376,10,5
16256,2,5,51,54,6,6
24336,6,12,107,121,9,6
17486,2,1,20,32,6,6
25611,0,8,55,78,6,4
25267,12,32,217,327,12,7
19836,2,1,22,29,8,4
17654,2,7,54,72,7,7
17312,3,3,47,43,4,7
17216,0,2,16,24,7,3
24678,10,32,217,302,9,7
13063,8,10,101,131,10,5
21688,0,1,9,14,9,5
18147,15,26,223,282,8,7
25195,11,7,122,112,12,7
18569,10,20,162,212,7,6
12140,20,34,296,368,15,10
20984,15,18,206,200,9,8
24504,2,8,51,85,11,4
18884,8,16,131,172,7,7
18278,11,21,186,219,7,8
19334,12,10,129,153,8,6
10161,15,20,206,234,7,8
20167,12,10,135,139,8,7
12837,9,13,124,156,8,8
10487,10,18,149,201,7,6
18091,3,9,82,75,8,7
25072,6,12,101,131,8,6
14429,2,9,66,78,7,5
20562,11,26,210,246,7,6
21303,6,20,137,191,13,7
11770,2,3,29,46,5,4
12626,8,18,150,182,7,7
14832,1,1,23,20,6,4
11471,7,16,127,168,11,7
18999,12,19,170,223,11,9
19393,16,48,332,446,10,5
19270,3,6,53,68,6,6
20036,3,6,58,61,5,6
16619,10,6,90,115,10,6
18825,6,12,106,120,6,4
21522,9,19,169,186,9,6
12458,20,20,236,260,9,7
19713,9,17,147,182,7,5
12044,4,8,74,85,13,6
18403,19,36,308,373,12,11
17056,3,2,37,33,6,6
20263,10,17,151,187,11,6
22787,5,7,76,80,7,5
15763,12,15,167,176,7,8
17953,8,20,146,203,10,5
20386,8,18,141,184,7,8
19932,3,7,57,80,7,5
25371,17,21,210,258,10,7
22808,3,7,60,70,8,6
25056,15,24,216,269,9,8
17590,8,21,161,203,7,8
22293,22,40,346,431,8,6
23499,4,21,130,191,8,4
22592,19,45,328,450,10,5
21426,1,2,28,29,7,6
19625,1,2,26,25,4,4
19238,11,16,168,169,7,10
14760,7,13,139,136,6,10
17398,0,4,26,35,6,4
13901,10,54,294,484,9,6
22752,16,48,320,458,13,6
20001,4,8,83,81,5,8
17566,16,24,242,258,7,9
15165,1,4,38,43,10,6
86239,6,8,89,89,6,6
13805,2,5,47,52,11,8
