,downYear,upYear,downMonth,upMonth
22752,16,47,313,453
20001,4,8,83,81
17566,16,24,242,258
15165,1,4,38,43
86239,6,8,89,89
13805,2,5,47,52
11607,21,27,247,340
24037,9,15,139,159
22648,6,20,133,189
19887,9,15,139,167
25128,2,5,42,52
25697,7,13,124,147
18921,16,26,251,267
15974,2,8,66,72
12669,8,9,111,112
18550,11,19,166,208
20677,9,20,161,205
21514,15,26,230,281
20298,1,5,38,48
11308,13,50,299,467
21346,10,10,137,122
16598,7,16,126,164
22621,0,1,11,17
23894,8,9,109,116
20095,8,10,115,122
18446,13,24,218,240
13637,9,9,101,124
20650,0,0,9,3
15448,2,7,47,75
19510,7,7,87,99
23819,21,42,348,418
18681,20,22,230,308
24002,7,11,109,123
21004,10,32,220,300
19174,6,7,77,96
10006,9,17,146,181
19764,4,6,72,82
16758,8,13,126,136
19553,9,32,212,290
13928,14,49,328,438
10401,15,32,257,327
24942,18,44,317,440
10751,10,15,142,169
23165,0,2,16,20
22242,3,5,50,60
23448,8,17,142,172
14314,0,0,7,8
10727,7,5,78,81
18841,3,7,67,66
14277,22,37,316,413
16651,12,17,190,179
10436,5,8,86,85
17515,4,6,64,70
23237,5,7,79,86
12167,9,8,103,122
17726,11,31,230,295
21418,4,6,61,77
19668,2,5,37,57
16969,5,12,107,115
21821,11,31,216,298
22760,10,20,176,200
18366,1,2,25,29
15499,4,7,75,71
18948,11,27,204,272
23384,3,4,54,42
10516,17,34,284,347
18016,19,31,290,330
25582,12,23,195,258
18067,16,21,224,241
17048,2,7,49,75
15536,3,7,58,72
13135,2,4,34,48
12896,4,6,60,81
24328,8,19,167,184
16926,1,3,21,37
24643,25,38,349,417
17718,3,7,69,63
21119,12,17,171,190
11295,8,20,147,199
19967,3,1,39,28
21178,19,34,275,388
19692,14,28,239,285
17451,2,7,61,62
13151,0,2,17,22
24539,9,34,220,313
19297,8,16,143,160
14883,10,31,230,276
23341,10,26,199,251
20482,15,48,308,457
19959,0,0,8,5
25662,9,15,139,167
20511,4,3,49,44
24010,18,45,324,442
11527,3,7,61,77
12941,4,5,57,65
15480,2,3,38,41
14592,8,22,159,212
18454,0,3,17,36
22728,9,18,167,177
28513,3,8,61,85
23456,3,7,57,73
24803,16,30,258,314
11164,8,20,168,189
24854,7,13,116,136
20079,10,23,176,234
24571,7,17,138,170
17064,2,1,30,19
10102,9,8,109,106
10209,2,3,34,45
24563,8,41,270,337
22779,20,43,341,425
24993,3,3,42,41
16344,1,7,43,68
20503,2,5,50,49
23026,17,46,299,463
18649,14,24,206,256
22170,0,1,13,17
20896,9,16,139,171
19879,11,9,122,124
18374,12,28,223,280
23536,6,30,182,275
14699,0,0,0,1
20992,8,8,109,93
26366,8,9,93,124
20909,10,17,154,188
21266,3,5,49,62
21194,9,8,104,115
15317,3,4,45,57
25179,1,1,10,21
22218,6,8,104,99
12650,10,14,150,174
21469,4,3,49,53
22410,8,11,121,142
21223,0,0,5,13
18331,8,11,110,125
26657,19,21,242,257
15579,20,41,330,412
26294,13,16,178,194
25419,18,43,327,414
25670,0,0,11,8
26446,7,3,73,64
26323,3,4,39,55
24387,1,3,32,32
23616,0,0,7,12
14728,1,1,16,23
25742,0,0,1,7
27158,3,6,52,65
27473,11,16,167,163
16424,13,31,202,338
25339,3,2,41,22
25910,12,21,180,223
13119,20,25,255,289
22533,7,11,93,130
27027,9,18,144,191
26921,9,5,89,87
27537,2,4,30,49
21709,8,14,130,155
25574,9,13,122,155
27465,5,5,65,74
27182,2,1,32,20
26825,16,43,307,410
11033,1,5,39,44
23878,3,3,38,44
18390,3,3,42,47
27836,8,4,77,76
27510,6,13,115,125
27916,2,4,39,42
28003,6,10,87,112
20415,8,9,132,120
27617,1,1,16,10
28310,8,31,208,278
28134,10,14,130,173
24889,1,4,33,38
23253,8,10,118,128
68523,1,2,35,21
28118,13,24,217,241
28484,23,26,284,325
38404,1,2,20,24
28548,5,19,132,168
26737,4,10,89,108
26120,6,13,107,135
23552,13,17,183,192
22920,4,5,66,56
