,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
19211,7,3,67,73,4,4,32,40,40,27
23907,3,3,39,44,5,5,22,22,21,17
19430,3,12,81,113,9,7,69,43,44,37
15149,1,4,50,48,4,13,23,24,24,25
11439,2,6,55,59,5,5,27,31,31,24
20554,0,0,5,8,4,4,6,1,2,3
10778,0,0,2,16,8,1,13,2,2,0
18163,11,52,324,442,8,7,258,183,183,141
10604,11,31,229,288,11,10,166,121,121,108
11447,9,17,146,185,8,5,98,87,86,59
21901,4,3,49,45,5,6,19,25,26,23
17005,16,47,330,436,10,9,246,189,189,141
15843,6,9,100,94,5,8,48,45,46,54
19940,5,17,116,160,11,5,89,69,70,46
10030,2,8,57,84,10,5,46,37,37,20
24141,8,19,148,190,8,7,104,85,86,62
23720,6,12,109,122,5,5,63,58,57,51
12095,13,27,224,275,7,8,155,119,120,104
23018,6,10,106,105,8,7,53,51,51,55
20108,0,0,1,2,2,1,1,0,1,0
18112,14,28,239,275,10,9,153,121,122,117
22461,6,6,76,81,7,6,43,37,37,39
17013,2,5,40,64,10,5,40,23,23,17
21768,12,14,143,183,11,6,97,84,86,57
11092,9,9,113,114,8,9,57,56,56,57
20407,10,15,147,170,7,8,89,80,80,67
19916,10,32,230,295,8,8,166,129,129,100
19828,5,4,61,66,5,7,32,33,33,27
20124,14,31,223,329,12,10,201,127,127,96
12511,10,21,192,210,10,6,100,108,109,83
22007,5,16,124,142,6,6,76,66,65,58
23173,0,0,2,7,4,1,5,2,1,0
17478,14,49,307,459,14,8,287,172,172,134
22509,17,46,322,444,9,9,257,186,187,135
16870,10,30,208,287,11,8,171,115,116,92
24184,14,30,238,301,19,9,178,123,122,115
19617,9,9,113,119,7,8,63,56,55,57
22429,8,7,106,88,4,6,40,47,48,58
21936,18,45,332,434,11,6,247,186,187,145
12343,6,5,72,93,10,10,62,30,29,42
16678,21,42,337,429,10,7,253,175,176,161
24635,14,16,181,198,11,8,102,96,95,85
19684,3,8,64,85,10,5,50,34,35,29
23886,8,7,95,98,8,9,50,47,46,48
14664,2,6,54,57,9,8,33,23,23,31
17750,16,47,335,431,11,11,242,188,189,146
21995,1,5,43,53,7,5,27,24,25,18
17806,17,32,264,336,10,11,192,143,143,121
17291,11,17,153,203,7,10,123,80,79,73
22330,6,5,71,72,8,11,37,34,34,37
11068,6,6,80,81,7,8,41,40,39,40
23683,8,9,111,107,16,8,52,54,54,57
25320,20,43,325,441,8,5,240,200,201,124
11375,1,5,43,56,9,7,32,23,24,18
22023,13,21,212,211,9,7,107,103,104,107
12757,3,2,45,36,7,6,15,20,21,24
23851,11,31,220,299,8,5,165,133,134,86
25005,13,25,215,259,7,7,138,120,120,95
17558,7,14,123,145,10,7,85,59,60,63
15835,2,8,62,74,6,4,35,38,38,24
17646,10,13,133,157,10,5,82,75,73,58
20239,10,15,153,168,8,8,81,86,86,67
22699,2,5,47,52,8,5,26,25,26,21
22082,12,27,204,279,8,7,153,125,125,79
17881,1,3,33,36,5,5,18,18,17,15
14867,4,4,66,52,6,6,23,28,29,36
21186,20,43,355,411,10,9,208,203,202,152
23747,0,0,2,3,3,2,2,0,1,1
14779,1,4,34,36,4,5,16,20,20,13
13354,10,25,210,229,11,8,120,108,109,101
12781,8,10,103,129,9,6,69,59,59,44
23528,4,7,62,81,8,6,48,32,32,30
24555,7,17,141,165,9,7,86,78,77,63
24811,16,26,247,276,10,6,152,124,124,122
25646,4,10,83,120,8,5,68,50,51,32
15667,12,39,255,376,14,9,220,155,155,100
19895,15,29,261,277,7,7,130,147,147,113
24088,10,8,111,121,8,6,64,56,57,54
21530,4,8,79,78,11,6,40,37,38,41
20204,15,31,252,321,9,9,177,143,143,109
11981,6,8,91,95,6,7,49,45,45,46
15237,8,6,90,88,8,5,44,43,43,47
10866,12,26,210,261,10,7,143,118,117,91
24096,6,10,101,130,10,7,71,58,57,43
13661,10,19,162,198,9,7,109,88,89,73
13290,7,14,120,146,7,5,74,71,72,48
17603,0,2,19,24,5,5,11,12,12,7
14525,11,17,165,189,8,7,105,83,83,82
24176,2,6,48,67,8,3,34,32,32,16
21151,1,1,19,26,6,3,14,12,11,7
19254,14,26,219,279,12,7,166,112,113,106
12490,21,42,350,416,10,8,235,180,180,170
12052,22,41,335,431,8,6,235,196,196,138
18980,9,9,123,109,12,9,59,49,49,74
11690,10,19,162,202,7,8,112,88,88,74
21549,0,5,30,48,8,4,27,20,20,10
12191,3,7,54,76,9,5,41,35,34,19
22015,2,1,30,17,2,5,2,15,14,15
11762,17,46,323,443,9,6,257,185,186,137
16600,13,50,320,446,10,7,253,192,192,128
23077,12,43,279,396,10,6,221,175,175,103
25689,6,8,92,94,8,14,51,43,43,48
17099,0,3,22,29,5,7,16,13,12,9
16731,8,11,125,122,5,9,58,64,64,60
20730,10,27,204,260,14,5,153,106,106,98
16723,3,7,55,85,10,6,49,35,35,20
10276,6,9,90,101,12,11,60,40,41,49
22074,3,4,51,48,7,7,22,26,25,25
17742,0,2,14,21,5,3,13,7,8,6
18315,13,11,151,155,8,9,78,76,76,75
21557,12,17,175,188,13,6,101,87,87,87
15528,1,6,38,61,8,3,33,27,28,10
10989,9,33,215,308,11,5,175,132,132,83
16803,8,19,141,197,8,7,115,81,81,60
15819,2,8,57,81,8,8,47,33,33,24
20714,3,3,38,45,5,3,19,25,25,13
11949,9,6,99,95,10,8,44,50,51,48
24459,21,38,322,398,11,6,225,172,173,149
13303,15,21,219,223,15,8,119,103,104,115
11658,6,15,121,142,8,8,79,62,62,59
21645,2,5,43,52,7,6,27,25,24,18
14189,8,18,152,176,9,8,101,74,75,77
20431,6,5,67,80,7,9,47,32,33,34
19756,8,10,123,103,7,6,40,63,62,60
19772,3,5,53,57,6,5,26,30,30,23
14357,7,20,146,193,9,6,103,89,89,57
24619,0,2,20,25,7,7,15,10,9,10
21434,5,5,67,71,7,6,33,37,38,29
13012,5,8,74,103,8,5,60,43,42,31
24221,17,37,268,392,11,6,224,168,168,99
15915,12,7,137,104,6,7,38,66,66,70
13856,11,52,305,461,10,7,283,177,177,128
19377,10,30,204,292,12,6,178,113,113,91
14891,15,32,252,329,12,5,184,144,145,107
19561,18,45,337,429,9,6,241,187,187,150
12212,2,0,27,18,3,6,8,10,10,16
13274,1,5,33,49,10,10,36,13,12,20
15157,1,9,54,83,9,5,51,31,31,23
25136,0,0,3,4,3,3,2,1,1,2
16686,2,8,58,78,7,5,43,34,34,24
12976,9,19,136,216,9,6,135,80,80,56
24264,16,28,259,285,8,7,142,142,143,116
16205,4,5,58,69,5,5,37,31,31,27
12618,0,0,1,2,1,1,0,1,1,0
16571,9,27,195,258,13,6,145,112,112,83
12220,0,0,9,6,3,5,2,4,3,5
15544,6,6,90,73,6,6,31,40,41,49
28281,0,3,21,36,8,2,19,16,17,4
23050,7,17,141,163,9,6,89,74,73,67
10057,13,21,224,200,6,10,87,113,113,110
15966,10,31,212,301,10,6,172,128,128,84
21784,1,1,16,21,7,5,11,9,10,6
18032,12,25,202,263,7,5,146,117,116,85
13389,0,0,6,7,3,3,3,3,4,2
13370,6,4,73,82,5,7,42,40,38,33
10292,0,4,26,40,11,3,20,19,20,6
10321,15,14,182,183,10,6,95,87,87,95
14488,4,5,61,63,6,8,31,32,31,29
22488,9,7,103,102,5,7,49,53,52,50
18729,17,46,313,453,11,5,264,188,189,124
17304,9,19,154,203,14,6,122,80,81,73
22306,3,4,41,62,8,3,34,28,27,13
22381,2,3,31,47,7,4,27,19,19,12
21231,6,12,98,134,15,6,83,50,51,47
14816,0,0,2,3,2,2,1,1,1,1
25187,0,3,24,31,8,5,20,10,11,13
19350,20,43,329,437,9,11,260,176,176,153
11359,0,4,30,29,4,6,12,17,16,13
25013,13,38,272,360,9,10,195,164,164,108
17689,3,3,42,40,3,7,18,21,21,21
13004,2,1,28,19,3,5,6,13,12,15
18171,0,1,5,20,5,2,15,4,4,1
11703,16,43,321,405,10,9,224,180,180,141
21979,14,37,277,365,10,8,202,162,163,112
11543,6,7,81,92,9,8,50,42,42,38
12319,18,25,251,286,8,10,151,134,135,116
