,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
19844,2,7,54,68,6,4,32,35,36,18
17830,20,43,335,431,9,7,248,183,183,151
23325,10,16,160,172,8,8,83,88,88,72
25232,17,36,296,367,10,5,203,162,163,133
16256,2,5,51,54,6,6,25,29,29,21
24336,6,12,107,121,9,6,70,51,50,56
17486,2,1,20,32,6,6,18,13,13,7
25611,0,8,55,78,6,4,41,35,36,19
25267,12,32,217,327,12,7,195,131,131,86
19836,2,1,22,29,8,4,16,12,12,10
17654,2,7,54,72,7,7,39,32,32,22
17312,3,3,47,43,4,7,18,24,24,23
17216,0,2,16,24,7,3,14,10,9,6
24678,10,32,217,302,9,7,164,137,137,80
13063,8,10,101,131,10,5,71,59,59,42
21688,0,1,9,14,9,5,9,4,4,5
18147,15,26,223,282,8,7,158,124,123,99
25195,11,7,122,112,12,7,59,53,53,68
18569,10,20,162,212,7,6,121,91,90,71
12140,20,34,296,368,15,10,215,152,152,144
20984,15,18,206,200,9,8,98,102,102,103
24504,2,8,51,85,11,4,49,35,35,16
18884,8,16,131,172,7,7,92,79,79,52
18278,11,21,186,219,7,8,123,95,96,90
19334,12,10,129,153,8,6,89,63,63,66
10161,15,20,206,234,7,8,114,119,119,87
20167,12,10,135,139,8,7,69,69,69,66
12837,9,13,124,156,8,8,86,68,69,55
10487,10,18,149,201,7,6,113,87,87,62
18091,3,9,82,75,8,7,36,39,39,42
25072,6,12,101,131,8,6,75,55,55,46
14429,2,9,66,78,7,5,36,41,42,24
20562,11,26,210,246,7,6,131,115,114,95
21303,6,20,137,191,13,7,109,81,81,56
11770,2,3,29,46,5,4,25,20,20,9
12626,8,18,150,182,7,7,101,80,80,70
14832,1,1,23,20,6,4,9,11,11,11
11471,7,16,127,168,11,7,103,64,65,62
18999,12,19,170,223,11,9,130,93,92,77
19393,16,47,325,441,10,5,244,196,196,129
19270,3,6,53,68,6,6,40,28,28,24
20036,3,6,58,61,5,6,31,29,29,29
16619,10,6,90,115,10,6,65,49,49,41
18825,6,12,106,120,6,4,59,61,60,45
21522,9,19,169,186,9,6,100,85,86,83
12458,20,20,236,260,9,7,125,134,135,101
19713,9,17,147,182,7,5,97,85,84,62
12044,4,8,74,85,13,6,49,35,36,38
18403,19,36,308,373,12,11,211,161,161,147
17056,3,2,37,33,6,6,18,15,15,21
20263,10,17,151,187,11,6,101,85,85,66
22787,5,7,76,80,7,5,38,41,41,35
15763,12,15,167,176,7,8,88,87,87,80
17953,8,20,146,203,10,5,121,81,81,65
20386,8,18,141,184,7,8,102,81,81,60
19932,3,7,57,80,7,5,47,32,33,24
25371,17,21,210,258,10,7,138,119,120,90
22808,3,7,60,70,8,6,36,33,33,27
25056,15,24,216,269,9,8,154,114,114,102
17590,8,21,161,203,7,8,114,88,88,73
22293,22,39,340,425,8,6,233,190,192,148
23499,4,21,130,191,8,4,119,71,71,59
22592,19,44,323,443,10,5,252,190,190,133
21426,1,2,28,29,7,6,14,14,14,14
19625,1,2,26,25,4,4,12,12,12,14
19238,11,16,168,169,7,10,84,84,85,83
14760,7,13,139,136,6,10,67,69,67,70
17398,0,4,26,35,6,4,18,16,17,9
13901,10,53,289,477,9,6,296,180,180,109
22752,16,47,313,453,13,6,265,187,187,126
20001,4,8,83,81,5,8,39,41,41,42
17566,16,24,242,258,7,9,121,136,137,105
15165,1,4,38,43,10,6,23,19,20,18
86239,6,8,89,89,6,6,46,42,43,46
13805,2,5,47,52,11,8,27,24,24,23
11607,21,27,247,340,10,7,192,147,148,98
24037,9,15,139,159,6,6,80,79,79,59
22648,6,20,133,189,13,6,115,72,72,61
19887,9,15,139,167,9,6,85,81,80,58
25128,2,5,42,52,8,4,26,26,25,16
25697,7,13,124,147,6,8,81,66,65,57
18921,16,26,251,267,9,8,131,136,136,114
